Product ,Material,Additional Spec,Ends,Length 
S.S. EFSW PIPE,ASTM A358 CL.1  TP304,NACE MR0175,,
,ASTM A358 CL.1  TP304L,NACE MR0103,,
,ASTM A358 CL.1  TP304H,NACE MR0175/MR0103,,
,ASTM A358 CL.1  TP310S,H2 SERVICE,,
,ASTM A358 CL.1  TP310H,O2 SERVICE,,
,ASTM A358 CL.1  TP316,IBR,,
,ASTM A358 CL.1  TP316L,,,
,ASTM A358 CL.1  TP316H,,,
,ASTM A358 CL.1  TP316Ti,,,
,ASTM A358 CL.1  TP317,,,
,ASTM A358 CL.1  TP317L,,,
,ASTM A358 CL.1  TP321,,,
,ASTM A358 CL.1  TP321H,,,
,ASTM A358 CL.1  TP347,,,
,ASTM A358 CL.1  TP347H,,,
,ASME SA358 CL.1  TP304,,,
,ASME SA358 CL.1  TP304L,,,
,ASME SA358 CL.1  TP304H,,,
,ASME SA358 CL.1  TP310S,,,
,ASME SA358 CL.1  TP310H,,,
,ASME SA358 CL.1  TP316,,,
,ASME SA358 CL.1  TP316L,,,
,ASME SA358 CL.1  TP316H,,,
,ASME SA358 CL.1  TP316Ti,,,
,ASME SA358 CL.1  TP317,,,
,ASME SA358 CL.1  TP317L,,,
,ASME SA358 CL.1  TP321,,,
,ASME SA358 CL.1  TP321H,,,
,ASME SA358 CL.1  TP347,,,
,ASME SA358 CL.1  TP347H,,,
,,,,
A.S. EFSW PIPE,ASTM A691 GR. 1.25CR CL.12,NACE MR0175,,
A.S. LSAW PIPE,ASTM A691 GR. 1.25CR CL.22,NACE MR0103,,
,ASTM A691 GR. 1.25CR CL.32,NACE MR0175/MR0103,,
,ASTM A691 GR. 1.25CR CL.42,H2 SERVICE,,
,ASTM A691 GR. 2.25CR CL.12,IBR,,
,ASTM A691 GR. 2.25CR CL.22,AXN1,,
,ASTM A691 GR. 2.25CR CL.32,AXN2,,
,ASTM A691 GR. 2.25CR CL.42,AXN4,,
,ASTM A691 GR. 5CR CL.12,,,
,ASTM A691 GR. 5CR CL.22,,,
,ASTM A691 GR. 5CR CL.32,,,
,ASTM A691 GR. 5CR CL.42,,,
,ASTM A691 GR. 9CR CL.12,,,
,ASTM A691 GR. 9CR CL.22,,,
,ASTM A691 GR. 9CR CL.32,,,
,ASTM A691 GR. 9CR CL.42,,,
,ASTM A691 GR. 91 CL.12,,,
,ASTM A691 GR. 91 CL.22,,,
,ASTM A691 GR. 91 CL.32,,,
,ASTM A691 GR. 91 CL.42,,,
,ASME SA691 GR. 1.25CR CL.12,,,
,ASME SA691 GR. 1.25CR CL.22,,,
,ASME SA691 GR. 1.25CR CL.32,,,
,ASME SA691 GR. 1.25CR CL.42,,,
,ASME SA691 GR. 2.25CR CL.12,,,
,ASME SA691 GR. 2.25CR CL.22,,,
,ASME SA691 GR. 2.25CR CL.32,,,
,ASME SA691 GR. 2.25CR CL.42,,,
,ASME SA691 GR. 5CR CL.12,,,
,ASME SA691 GR. 5CR CL.22,,,
,ASME SA691 GR. 5CR CL.32,,,
,ASME SA691 GR. 5CR CL.42,,,
,ASME SA691 GR. 9CR CL.12,,,
,ASME SA691 GR. 9CR CL.22,,,
,ASME SA691 GR. 9CR CL.32,,,
,ASME SA691 GR. 9CR CL.42,,,
,ASME SA691 GR. 91 CL.12,,,
,ASME SA691 GR. 91 CL.22,,,
,ASME SA691 GR. 91 CL.32,,,
,ASME SA691 GR. 91 CL.42,,,
,,,,
L.T.C.S. EFSW PIPES,ASTM A671 GR. CC60 CL.12,NACE MR0175,,
L.T.C.S. LSAW PIPES,ASTM A671 GR. CC60 CL.22,NACE MR0103,,
,ASTM A671 GR. CC60 CL.32,NACE MR0175/MR0103,,
,ASTM A671 GR. CC65 CL.12,H2 SERVICE,,
,ASTM A671 GR. CC65 CL.22,AXN1,,
,ASTM A671 GR. CC65 CL.32,AXN2,,
,ASTM A671 GR. CB60 CL.12,AXN4,,
,ASTM A671 GR. CB60 CL.22,,,
,ASTM A671 GR. CB60 CL.32,,,
,ASTM A671 GR. CB65 CL.12,,,
,ASTM A671 GR. CB65 CL.22,,,
,ASTM A671 GR. CB65 CL.32,,,
,ASME SA671 GR. CC60 CL.12,,,
,ASME SA671 GR. CC60 CL.22,,,
,ASME SA671 GR. CC60 CL.32,,,
,ASME SA671 GR. CC65 CL.12,,,
,ASME SA671 GR. CC65 CL.22,,,
,ASME SA671 GR. CC65 CL.32,,,
,ASME SA671 GR. CB60 CL.12,,,
,ASME SA671 GR. CB60 CL.22,,,
,ASME SA671 GR. CB60 CL.32,,,
,ASME SA671 GR. CB65 CL.12,,,
,ASME SA671 GR. CB65 CL.22,,,
,ASME SA671 GR. CB65 CL.32,,,
